id,lat1,lon1,lat2,lon2,lat_center,lon_center,score_prix,score_hopitaux,score_practicien,score_metro,score_parking,score_final
2,45.687757,4.753455000000001,45.690757,4.757955000000001,45.689257,4.755705000000001,0.31250615004384746,0,0.0,0.0,0.0,0.1375027060192929
3,45.687757,4.757955,45.690757,4.762455,45.689257,4.760205,0.37786505278862703,0,0.0,0.0,0.0,0.1662606232269959
8,45.687757,4.780455,45.690757,4.784955,45.689257,4.782705,0.27146845405102893,0,0.0,0.0,0.0,0.11944611978245273
9,45.687757,4.784955,45.690757,4.789455,45.689257,4.787205,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
10,45.687757,4.789455,45.690757,4.793955,45.689257,4.791705,0.35326086956521735,1,0.0,0.0,0.0,0.3754347826086956
11,45.687757,4.793955,45.690757,4.798455000000001,45.689257,4.7962050000000005,0.532491506670655,0,0.0,0.0,0.0,0.2342962629350882
12,45.687757,4.798455000000001,45.690757,4.802955000000001,45.689257,4.800705000000001,0.4434208206606885,0,0.0,0.0,0.0,0.19510516109070294
13,45.687757,4.802955000000001,45.690757,4.807455000000001,45.689257,4.805205000000001,0.4982069335387631,0,0.0,0.0,0.0,0.21921105075705577
14,45.687757,4.807455,45.690757,4.811955,45.689257,4.809705,0.2978172354534779,0,0.0,0.0,0.0,0.13103958359953027
16,45.687757,4.816455,45.690757,4.8209550000000005,45.689257,4.8187050000000005,0.39358251349833,0,0.0,0.0,0.0,0.1731763059392652
17,45.687757,4.8209550000000005,45.690757,4.825455000000001,45.689257,4.823205000000001,0.4282081721649634,1,0.0,0.0,0.0,0.4084115957525839
24,45.687757,4.852455,45.690757,4.856955,45.689257,4.854705,0.41523794868783837,0,0.0,0.0,0.0,0.18270469742264886
26,45.687757,4.861455,45.690757,4.8659550000000005,45.689257,4.863705,0.3296741874381771,1,0.0,0.0,0.0,0.36505664247279795
32,45.687757,4.888455,45.690757,4.892955000000001,45.689257,4.8907050000000005,0.46650244684114545,0,0.0,0.0,0.0,0.205261076610104
33,45.687757,4.892955000000001,45.690757,4.897455000000001,45.689257,4.895205000000001,0.5371136559900948,0,0.0,0.0,0.0,0.23633000863564171
34,45.687757,4.897455,45.690757,4.901955,45.689257,4.899705,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
42,45.687757,4.933455,45.690757,4.9379550000000005,45.689257,4.9357050000000005,0.4155657324074031,0,0.0,0.0,0.0,0.18284892225925733
