valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,surface_terrain,longitude,latitude,prix_du_m_carre
237500.00,69700,Givors,Maison,102.00,,4.7509710,45.5903710,2328.4313725490197
235000.00,69700,Givors,Maison,89.00,311.00,4.7486440,45.5906010,2640.449438202247
145000.00,69700,Givors,Maison,69.00,454.00,4.7620660,45.5906230,2101.449275362319
222000.00,69700,Givors,Appartement,118.00,,4.7688910,45.5908970,1881.3559322033898
340000.00,69700,Beauvallon,Maison,96.00,154.00,4.7055460,45.5909310,3541.6666666666665
208950.00,69700,Givors,Maison,74.00,235.00,4.7491280,45.5909430,2823.6486486486488
263400.00,69700,Beauvallon,Maison,90.00,320.00,4.7056090,45.5911220,2926.6666666666665
130000.00,69700,Givors,Appartement,82.00,,4.7735620,45.5912650,1585.3658536585365
342000.00,69700,Givors,Maison,96.00,632.00,4.7441660,45.5916800,3562.5
140000.00,69700,Givors,Appartement,77.00,,4.7616130,45.5919150,1818.1818181818182
295466.00,69700,Givors,Maison,103.00,390.00,4.7514860,45.5920210,2868.6019417475727
306250.00,69700,Givors,Maison,92.00,560.00,4.7500020,45.5923120,3328.804347826087
74500.00,69700,Givors,Appartement,61.00,,4.7634270,45.5923600,1221.311475409836
15000.00,69360,Ternay,Maison,45.00,956.00,4.7934660,45.5926400,333.3333333333333
420000.00,69700,Givors,Maison,76.00,1129.00,4.7639450,45.5935860,5526.315789473684
415000.00,69700,Givors,Maison,190.00,694.00,4.7627860,45.5942900,2184.2105263157896
167350.00,69700,Givors,Appartement,70.00,,4.7713000,45.5947190,2390.714285714286
615000.00,69360,Communay,Maison,50.00,19640.00,4.8221300,45.5948250,12300.0
160200.00,69360,Communay,Appartement,39.00,,4.8324810,45.5949080,4107.692307692308
384952.00,69360,Ternay,Maison,100.00,1010.00,4.7977160,45.5951390,3849.52
195000.00,69700,Givors,Maison,73.00,807.00,4.7648260,45.5957770,2671.2328767123286
107500.00,69700,Givors,Maison,161.00,812.00,4.7629200,45.5958200,667.7018633540373
286900.00,69440,Chabanière,Maison,100.00,147.00,4.6092360,45.5959110,2869.0
140000.00,69440,Chabanière,Maison,152.00,355.00,4.6343940,45.5963220,921.0526315789474
331000.00,69440,Chabanière,Maison,90.00,265.00,4.6097020,45.5963370,3677.777777777778
412000.00,69360,Ternay,Maison,165.00,,4.8028980,45.5963900,2496.969696969697
393000.00,69440,Chabanière,Maison,160.00,411.00,4.6079550,45.5965490,2456.25
248000.00,69440,Sainte-Catherine,Maison,103.00,785.00,4.5718740,45.5965800,2407.766990291262
100000.00,69700,Givors,Maison,205.00,216.00,4.7540980,45.5970430,487.8048780487805
200000.00,69360,Ternay,Maison,120.00,1009.00,4.7944810,45.5970610,1666.6666666666667
432201.00,69360,Ternay,Maison,105.00,550.00,4.8064960,45.5971400,4116.2
129000.00,69700,Givors,Maison,66.00,87.00,4.7664990,45.5972490,1954.5454545454545
387950.00,69700,Givors,Maison,180.00,889.00,4.7650250,45.5974730,2155.277777777778
445000.00,69700,Beauvallon,Maison,80.00,372.00,4.7540040,45.5976660,5562.5
364800.00,69520,Grigny,Maison,112.00,206.00,4.7836950,45.5981330,3257.1428571428573
218000.00,69360,Ternay,Maison,76.00,,4.8043030,45.5982720,2868.4210526315787
80000.00,69700,Givors,Appartement,82.00,,4.7689960,45.5983420,975.609756097561
237000.00,69700,Givors,Maison,63.00,294.00,4.7742360,45.5984890,3761.904761904762
494825.00,69360,Ternay,Maison,175.00,1000.00,4.8050790,45.5985260,2827.5714285714284
30000.00,69440,Sainte-Catherine,Maison,98.00,180.00,4.5700530,45.5992220,306.1224489795918
251950.00,69520,Grigny,Maison,87.00,292.00,4.7800630,45.5992820,2895.977011494253
