valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,surface_terrain,longitude,latitude,prix_du_m_carre
167705.00,69008,Lyon 8e Arrondissement,Appartement,38.00,,4.8613400,45.7393220,4413.289473684211
200000.00,69008,Lyon 8e Arrondissement,Appartement,47.00,,4.8621820,45.7393230,4255.31914893617
1250000.00,69110,Sainte-Foy-lès-Lyon,Appartement,180.00,128.00,4.8086040,45.7393240,6944.444444444444
205000.00,69008,Lyon 8e Arrondissement,Appartement,60.00,,4.8609960,45.7393530,3416.6666666666665
345000.00,69002,Lyon 2e Arrondissement,Appartement,56.00,,4.8171590,45.7393830,6160.714285714285
145000.00,69930,Saint-Laurent-de-Chamousset,Appartement,66.00,,4.4642170,45.7393840,2196.969696969697
250000.00,69008,Lyon 8e Arrondissement,Appartement,80.00,,4.8647280,45.7393840,3125.0
168000.00,69008,Lyon 8e Arrondissement,Appartement,40.00,,4.8653520,45.7393990,4200.0
600000.00,69340,Francheville,Maison,132.00,526.00,4.7560150,45.7394000,4545.454545454545
121000.00,69340,Francheville,Appartement,25.00,,4.7727710,45.7394180,4840.0
240000.00,69680,Chassieu,Appartement,62.00,,4.9702900,45.7394210,3870.967741935484
516100.00,69002,Lyon 2e Arrondissement,Appartement,70.00,,4.8202800,45.7394240,7372.857142857143
203000.00,69008,Lyon 8e Arrondissement,Appartement,48.00,,4.8606700,45.7395370,4229.166666666667
46000.00,69930,Saint-Laurent-de-Chamousset,Maison,85.00,60.00,4.4642830,45.7395400,541.1764705882352
284100.00,69008,Lyon 8e Arrondissement,Appartement,51.00,,4.8638620,45.7395950,5570.588235294118
308900.00,69008,Lyon 8e Arrondissement,Appartement,69.00,,4.8613020,45.7396060,4476.811594202899
327000.00,69500,Bron,Appartement,99.00,,4.9141840,45.7396130,3303.030303030303
550000.00,69110,Sainte-Foy-lès-Lyon,Maison,67.00,600.00,4.7896160,45.7396560,8208.955223880597
535700.00,69290,Grézieu-la-Varenne,Maison,109.00,420.00,4.6858240,45.7396650,4914.678899082569
508100.00,69110,Sainte-Foy-lès-Lyon,Maison,88.00,306.00,4.7904470,45.7396720,5773.863636363636
230000.00,69930,Saint-Laurent-de-Chamousset,Maison,93.00,363.00,4.4636020,45.7397250,2473.1182795698924
132550.00,69930,Saint-Laurent-de-Chamousset,Maison,68.00,37.00,4.4639730,45.7397630,1949.264705882353
255000.00,69007,Lyon 7e Arrondissement,Appartement,62.00,,4.8521040,45.7397870,4112.903225806452
514000.00,69340,Francheville,Appartement,96.00,,4.7754000,45.7398320,5354.166666666667
491000.00,69290,Grézieu-la-Varenne,Maison,99.00,773.00,4.6850390,45.7400190,4959.595959595959
880000.00,69008,Lyon 8e Arrondissement,Maison,116.00,458.00,4.8856030,45.7400310,7586.206896551724
450000.00,69290,Grézieu-la-Varenne,Maison,98.00,650.00,4.6925390,45.7400700,4591.836734693878
175000.00,69008,Lyon 8e Arrondissement,Appartement,55.00,,4.8775880,45.7400730,3181.818181818182
468450.00,69500,Bron,Maison,70.00,699.00,4.9331000,45.7400810,6692.142857142857
510000.00,69340,Francheville,Maison,107.00,628.00,4.7559890,45.7401550,4766.355140186916
416480.00,69110,Sainte-Foy-lès-Lyon,Maison,30.00,517.00,4.7820160,45.7401550,13882.666666666666
400000.00,69290,Grézieu-la-Varenne,Maison,90.00,916.00,4.6919980,45.7401570,4444.444444444444
264000.00,69670,Vaugneray,Appartement,63.00,,4.6570610,45.7401870,4190.476190476191
405170.00,69007,Lyon 7e Arrondissement,Appartement,69.00,,4.8413000,45.7402120,5872.028985507246
175000.00,69500,Bron,Maison,101.00,1020.00,4.9290660,45.7402470,1732.6732673267327
1250000.00,69680,Chassieu,Appartement,78.00,2172.00,4.9692300,45.7402910,16025.641025641025
958410.00,69110,Sainte-Foy-lès-Lyon,Maison,125.00,1341.00,4.7979960,45.7402950,7667.28
590000.00,69007,Lyon 7e Arrondissement,Appartement,86.00,389.00,4.8524820,45.7403260,6860.46511627907
563000.00,69290,Craponne,Maison,124.00,1007.00,4.7190270,45.7403370,4540.322580645161
776000.00,69110,Sainte-Foy-lès-Lyon,Maison,143.00,382.00,4.7897120,45.7403630,5426.573426573426
530000.00,69007,Lyon 7e Arrondissement,Appartement,30.00,94.00,4.8512140,45.7403740,17666.666666666668
302750.00,69008,Lyon 8e Arrondissement,Appartement,68.00,,4.8753390,45.7403810,4452.205882352941
270000.00,69008,Lyon 8e Arrondissement,Appartement,46.00,,4.8585030,45.7403830,5869.565217391304
325000.00,69500,Bron,Maison,91.00,310.00,4.9202530,45.7403860,3571.4285714285716
585700.00,69340,Francheville,Maison,150.00,684.00,4.7566850,45.7403960,3904.6666666666665
460000.00,69680,Chassieu,Maison,105.00,895.00,4.9725300,45.7404110,4380.952380952381
491000.00,69680,Chassieu,Maison,83.00,895.00,4.9679530,45.7404220,5915.6626506024095
266000.00,69008,Lyon 8e Arrondissement,Appartement,60.00,,4.8616290,45.7404320,4433.333333333333
295000.00,69007,Lyon 7e Arrondissement,Appartement,40.00,163.00,4.8524460,45.7404440,7375.0
664910.00,69500,Bron,Maison,93.00,408.00,4.9130840,45.7404450,7149.569892473119
304050.00,69008,Lyon 8e Arrondissement,Appartement,68.00,,4.8860030,45.7404490,4471.323529411765
280000.00,69008,Lyon 8e Arrondissement,Appartement,46.00,,4.8655990,45.7404530,6086.95652173913
625000.00,69500,Bron,Maison,170.00,382.00,4.9147310,45.7404850,3676.470588235294
255000.00,69500,Bron,Maison,147.00,385.00,4.9092280,45.7404870,1734.6938775510205
155000.00,69500,Bron,Appartement,45.00,,4.9248560,45.7405430,3444.4444444444443
160000.00,69008,Lyon 8e Arrondissement,Appartement,36.00,,4.8700240,45.7405500,4444.444444444444
906880.00,69740,Genas,Maison,198.00,800.00,5.0147330,45.7405840,4580.20202020202
60000.00,69290,Craponne,Appartement,26.00,,4.7215460,45.7405910,2307.6923076923076
227000.00,69008,Lyon 8e Arrondissement,Appartement,69.00,,4.8696930,45.7406000,3289.855072463768
280000.00,69500,Bron,Maison,71.00,488.00,4.9130740,45.7406300,3943.6619718309857
378000.00,69740,Genas,Maison,75.00,409.00,5.0164130,45.7406770,5040.0
299500.00,69007,Lyon 7e Arrondissement,Appartement,103.00,,4.8552290,45.7407100,2907.766990291262
140000.00,69007,Lyon 7e Arrondissement,Appartement,32.00,,4.8505140,45.7407360,4375.0
175000.00,69008,Lyon 8e Arrondissement,Appartement,35.00,,4.8676380,45.7407380,5000.0
612630.00,69680,Chassieu,Maison,130.00,661.00,4.9749710,45.7407490,4712.538461538462
381600.00,69290,Grézieu-la-Varenne,Maison,97.00,214.00,4.6931160,45.7408050,3934.020618556701
50000.00,69690,Courzieu,Maison,26.00,555.00,4.5757940,45.7408150,1923.076923076923
315000.00,69008,Lyon 8e Arrondissement,Appartement,68.00,,4.8580970,45.7408750,4632.35294117647
839000.00,69740,Genas,Maison,169.00,1100.00,5.0143040,45.7409400,4964.497041420118
886500.00,69110,Sainte-Foy-lès-Lyon,Maison,90.00,786.00,4.8018950,45.7409580,9850.0
242550.00,69500,Bron,Appartement,79.00,,4.9289670,45.7410240,3070.253164556962
790000.00,69007,Lyon 7e Arrondissement,Maison,110.00,521.00,4.8524480,45.7410860,7181.818181818182
420000.00,69007,Lyon 7e Arrondissement,Maison,110.00,91.00,4.8526380,45.7410910,3818.181818181818
300000.00,69007,Lyon 7e Arrondissement,Maison,70.00,,4.8439630,45.7410980,4285.714285714285
1090000.00,69290,Grézieu-la-Varenne,Maison,219.00,978.00,4.6893200,45.7411140,4977.16894977169
321400.00,69290,Grézieu-la-Varenne,Appartement,86.00,,4.6885390,45.7411850,3737.2093023255816
1159540.00,69008,Lyon 8e Arrondissement,Maison,155.00,406.00,4.8714320,45.7412140,7480.903225806452
351300.00,69002,Lyon 2e Arrondissement,Appartement,44.00,,4.8231950,45.7412400,7984.090909090909
286750.00,69008,Lyon 8e Arrondissement,Appartement,56.00,,4.8663140,45.7412680,5120.535714285715
240000.00,69290,Craponne,Appartement,98.00,,4.7273890,45.7412870,2448.9795918367345
485000.00,69007,Lyon 7e Arrondissement,Appartement,91.00,,4.8404730,45.7412890,5329.67032967033
100000.00,69008,Lyon 8e Arrondissement,Appartement,28.00,,4.8681840,45.7413050,3571.4285714285716
330000.00,69003,Lyon 3e Arrondissement,Appartement,88.00,,4.8857700,45.7413650,3750.0
194400.00,69007,Lyon 7e Arrondissement,Appartement,41.00,,4.8507020,45.7413700,4741.463414634146
382000.00,69680,Chassieu,Maison,125.00,272.00,4.9766230,45.7413710,3056.0
253360.00,69930,Saint-Laurent-de-Chamousset,Maison,110.00,1162.00,4.4611020,45.7414170,2303.2727272727275
729505.00,69110,Sainte-Foy-lès-Lyon,Maison,135.00,364.00,4.8006290,45.7414270,5403.740740740741
379200.00,69500,Bron,Maison,96.00,538.00,4.9316630,45.7414750,3950.0
271900.00,69008,Lyon 8e Arrondissement,Appartement,55.00,,4.8758450,45.7414920,4943.636363636364
158000.00,69008,Lyon 8e Arrondissement,Appartement,34.00,,4.8594320,45.7415050,4647.058823529412
275000.00,69007,Lyon 7e Arrondissement,Appartement,65.00,,4.8540480,45.7415160,4230.7692307692305
267000.00,69008,Lyon 8e Arrondissement,Appartement,40.00,,4.8669910,45.7415290,6675.0
331000.00,69500,Bron,Maison,64.00,643.00,4.9211530,45.7415380,5171.875
478200.00,69500,Bron,Maison,111.00,525.00,4.9158980,45.7416120,4308.108108108108
214900.00,69008,Lyon 8e Arrondissement,Appartement,30.00,,4.8755850,45.7416370,7163.333333333333
602780.00,69680,Chassieu,Maison,151.00,,4.9575620,45.7416380,3991.9205298013244
239500.00,69500,Bron,Appartement,108.00,,4.9181300,45.7416450,2217.5925925925926
174000.00,69340,Francheville,Appartement,45.00,,4.7727090,45.7416460,3866.6666666666665
166680.00,69008,Lyon 8e Arrondissement,Appartement,20.00,,4.8615610,45.7416630,8334.0
161500.00,69007,Lyon 7e Arrondissement,Appartement,24.00,,4.8412550,45.7417080,6729.166666666667
350000.00,69680,Chassieu,Appartement,102.00,,4.9620580,45.7417450,3431.372549019608
380000.00,69110,Sainte-Foy-lès-Lyon,Maison,71.00,266.00,4.7868530,45.7417470,5352.112676056338
299000.00,69008,Lyon 8e Arrondissement,Appartement,55.00,,4.8628660,45.7417470,5436.363636363636
359350.00,69290,Craponne,Maison,81.00,478.00,4.7163170,45.7417550,4436.419753086419
255000.00,69008,Lyon 8e Arrondissement,Appartement,60.00,,4.8635870,45.7417670,4250.0
225000.00,69680,Chassieu,Appartement,59.00,,4.9710370,45.7417680,3813.5593220338983
85500.00,69007,Lyon 7e Arrondissement,Appartement,20.00,,4.8512220,45.7417820,4275.0
150000.00,69500,Bron,Appartement,55.00,,4.9228040,45.7418360,2727.2727272727275
159300.00,69002,Lyon 2e Arrondissement,Appartement,39.00,,4.8228850,45.7418940,4084.6153846153848
200000.00,69008,Lyon 8e Arrondissement,Appartement,57.00,,4.8719660,45.7419120,3508.7719298245615
1070500.00,69003,Lyon 3e Arrondissement,Maison,110.00,458.00,4.8885420,45.7419160,9731.818181818182
639400.00,69290,Craponne,Maison,140.00,810.00,4.7212080,45.7419260,4567.142857142857
775240.00,69290,Craponne,Maison,154.00,500.00,4.7120290,45.7420420,5034.025974025974
459400.00,69008,Lyon 8e Arrondissement,Appartement,71.00,,4.8707030,45.7420660,6470.422535211268
215000.00,69007,Lyon 7e Arrondissement,Appartement,39.00,,4.8524650,45.7421550,5512.820512820513
969860.00,69500,Bron,Maison,169.00,884.00,4.9106850,45.7421550,5738.816568047338
146500.00,69690,Courzieu,Maison,96.00,44.00,4.5705800,45.7421860,1526.0416666666667
217500.00,69340,Francheville,Appartement,62.00,,4.7697310,45.7422360,3508.064516129032
370460.00,69740,Genas,Appartement,68.00,345.00,5.0115160,45.7422480,5447.941176470588
130000.00,69007,Lyon 7e Arrondissement,Appartement,56.00,,4.8501890,45.7423210,2321.4285714285716
81000.00,69690,Courzieu,Maison,56.00,50.00,4.5710780,45.7423660,1446.4285714285713
350900.00,69008,Lyon 8e Arrondissement,Appartement,47.00,,4.8687020,45.7424930,7465.95744680851
533000.00,69290,Grézieu-la-Varenne,Maison,119.00,,4.7013890,45.7424950,4478.991596638655
1069000.00,69003,Lyon 3e Arrondissement,Maison,104.00,379.00,4.8927520,45.7425310,10278.846153846154
1178000.00,69008,Lyon 8e Arrondissement,Appartement,173.00,,4.8682930,45.7425520,6809.248554913294
433800.00,69008,Lyon 8e Arrondissement,Appartement,71.00,,4.8765570,45.7425760,6109.859154929577
276000.00,69290,Craponne,Appartement,56.00,,4.7270500,45.7426170,4928.571428571428
703950.00,69110,Sainte-Foy-lès-Lyon,Maison,162.00,,4.7955650,45.7426390,4345.37037037037
390000.00,69008,Lyon 8e Arrondissement,Appartement,77.00,,4.8621420,45.7426420,5064.935064935065
147246.00,69007,Lyon 7e Arrondissement,Appartement,77.00,,4.8516870,45.7426650,1912.2857142857142
421500.00,69008,Lyon 8e Arrondissement,Appartement,86.00,,4.8738850,45.7426810,4901.162790697675
1570000.00,69008,Lyon 8e Arrondissement,Maison,180.00,479.00,4.8717410,45.7427170,8722.222222222223
510500.00,69680,Chassieu,Maison,184.00,244.00,4.9657200,45.7427180,2774.4565217391305
150000.00,69500,Bron,Appartement,53.00,,4.9153190,45.7427320,2830.188679245283
437850.00,69290,Craponne,Maison,93.00,118.00,4.7219160,45.7427610,4708.064516129032
849000.00,69003,Lyon 3e Arrondissement,Maison,136.00,458.00,4.8932740,45.7427740,6242.64705882353
240400.00,69340,Francheville,Appartement,66.00,,4.7770000,45.7428150,3642.4242424242425
183650.00,69290,Craponne,Appartement,50.00,,4.7224980,45.7428340,3673.0
370000.00,69008,Lyon 8e Arrondissement,Maison,33.00,118.00,4.8752760,45.7428440,11212.121212121212
535000.00,69008,Lyon 8e Arrondissement,Appartement,102.00,,4.8634820,45.7428680,5245.098039215686
112000.00,69007,Lyon 7e Arrondissement,Appartement,40.00,,4.8484170,45.7428740,2800.0
417220.00,69008,Lyon 8e Arrondissement,Appartement,66.00,,4.8733190,45.7428820,6321.515151515152
150000.00,69002,Lyon 2e Arrondissement,Appartement,27.00,,4.8228120,45.7428940,5555.555555555556
260000.00,69680,Chassieu,Maison,55.00,425.00,4.9509100,45.7429230,4727.272727272727
225000.00,69740,Genas,Appartement,53.00,,5.0112310,45.7429240,4245.2830188679245
613400.00,69290,Craponne,Maison,180.00,,4.7190380,45.7429500,3407.777777777778
76000.00,69007,Lyon 7e Arrondissement,Appartement,20.00,,4.8359430,45.7429560,3800.0
110000.00,69008,Lyon 8e Arrondissement,Appartement,24.00,,4.8741040,45.7429760,4583.333333333333
499000.00,69110,Sainte-Foy-lès-Lyon,Appartement,119.00,,4.8059620,45.7429820,4193.27731092437
531550.00,69680,Chassieu,Maison,110.00,652.00,4.9609930,45.7430130,4832.272727272727
315000.00,69002,Lyon 2e Arrondissement,Appartement,58.00,,4.8216430,45.7430320,5431.0344827586205
279540.00,69290,Craponne,Appartement,82.00,,4.7231490,45.7430360,3409.0243902439024
538000.00,69680,Chassieu,Maison,110.00,434.00,4.9501840,45.7430490,4890.909090909091
1202415.00,69350,La Mulatière,Appartement,140.00,,4.8111120,45.7431190,8588.67857142857
439300.00,69290,Grézieu-la-Varenne,Maison,91.00,304.00,4.7020840,45.7431200,4827.472527472528
419800.00,69002,Lyon 2e Arrondissement,Appartement,65.00,,4.8162520,45.7431860,6458.461538461538
545400.00,69290,Craponne,Maison,73.00,861.00,4.7145340,45.7431990,7471.232876712329
565000.00,69290,Craponne,Maison,134.00,,4.7186810,45.7432000,4216.417910447762
190000.00,69002,Lyon 2e Arrondissement,Appartement,32.00,,4.8208010,45.7432290,5937.5
94450.00,69690,Brussieu,Maison,89.00,100.00,4.5301100,45.7433200,1061.2359550561798
602500.00,69008,Lyon 8e Arrondissement,Appartement,111.00,,4.8624960,45.7433520,5427.927927927928
672500.00,69340,Francheville,Maison,180.00,931.00,4.7516280,45.7433710,3736.1111111111113
413000.00,69008,Lyon 8e Arrondissement,Appartement,64.00,,4.8616360,45.7433770,6453.125
337000.00,69680,Chassieu,Maison,66.00,399.00,4.9670550,45.7433810,5106.060606060606
332400.00,69670,Vaugneray,Maison,120.00,187.00,4.6480120,45.7434140,2770.0
43750.00,69500,Bron,Maison,128.00,440.00,4.9103230,45.7434180,341.796875
478800.00,69007,Lyon 7e Arrondissement,Appartement,83.00,,4.8349260,45.7434400,5768.674698795181
419500.00,69110,Sainte-Foy-lès-Lyon,Appartement,79.00,,4.8070540,45.7434790,5310.126582278481
250000.00,69003,Lyon 3e Arrondissement,Appartement,66.00,,4.8782620,45.7434880,3787.878787878788
569400.00,69680,Chassieu,Maison,135.00,186.00,4.9691210,45.7435310,4217.777777777777
442200.00,69340,Francheville,Maison,78.00,500.00,4.7747950,45.7435970,5669.2307692307695
220000.00,69110,Sainte-Foy-lès-Lyon,Appartement,56.00,,4.7911270,45.7435970,3928.5714285714284
392350.00,69290,Craponne,Maison,61.00,919.00,4.7279530,45.7436000,6431.9672131147545
160000.00,69002,Lyon 2e Arrondissement,Appartement,64.00,,4.8255350,45.7436450,2500.0
309840.00,69003,Lyon 3e Arrondissement,Appartement,54.00,,4.8871790,45.7436610,5737.777777777777
626000.00,69008,Lyon 8e Arrondissement,Appartement,123.00,,4.8652620,45.7436880,5089.430894308943
489200.00,69008,Lyon 8e Arrondissement,Appartement,75.00,,4.8633290,45.7436940,6522.666666666667
921300.00,69290,Grézieu-la-Varenne,Maison,221.00,1875.00,4.7067210,45.7437800,4168.778280542986
300200.00,69002,Lyon 2e Arrondissement,Appartement,62.00,,4.8250560,45.7438230,4841.935483870968
521100.00,69680,Chassieu,Maison,119.00,574.00,4.9652680,45.7439180,4378.991596638655
438250.00,69002,Lyon 2e Arrondissement,Appartement,80.00,,4.8253240,45.7439390,5478.125
400000.00,69290,Grézieu-la-Varenne,Maison,128.00,1013.00,4.6920840,45.7439660,3125.0
231000.00,69003,Lyon 3e Arrondissement,Appartement,65.00,,4.8773210,45.7439840,3553.846153846154
188000.00,69008,Lyon 8e Arrondissement,Appartement,72.00,,4.8717800,45.7440220,2611.1111111111113
1200000.00,69003,Lyon 3e Arrondissement,Maison,250.00,532.00,4.8781760,45.7440450,4800.0
391000.00,69003,Lyon 3e Arrondissement,Appartement,62.00,,4.8773620,45.7441170,6306.451612903225
975000.00,69110,Sainte-Foy-lès-Lyon,Maison,163.00,984.00,4.7821780,45.7441670,5981.59509202454
634000.00,69008,Lyon 8e Arrondissement,Appartement,102.00,,4.8631370,45.7441770,6215.686274509804
280000.00,69008,Lyon 8e Arrondissement,Appartement,47.00,,4.8721540,45.7441950,5957.446808510638
480500.00,69290,Craponne,Maison,99.00,246.00,4.7192620,45.7442020,4853.535353535353
416600.00,69008,Lyon 8e Arrondissement,Appartement,70.00,,4.8733810,45.7442300,5951.428571428572
125000.00,69008,Lyon 8e Arrondissement,Appartement,23.00,,4.8677710,45.7442330,5434.782608695652
150000.00,69007,Lyon 7e Arrondissement,Appartement,38.00,,4.8475100,45.7442340,3947.3684210526317
700000.00,69680,Chassieu,Maison,90.00,500.00,4.9705980,45.7442430,7777.777777777777
160000.00,69290,Craponne,Appartement,77.00,,4.7167700,45.7442550,2077.9220779220777
910490.00,69003,Lyon 3e Arrondissement,Maison,135.00,473.00,4.8937430,45.7442670,6744.37037037037
985850.00,69290,Craponne,Maison,230.00,1000.00,4.7157830,45.7443320,4286.304347826087
385000.00,69500,Bron,Appartement,62.00,,4.9311940,45.7443460,6209.677419354839
550000.00,69340,Francheville,Maison,164.00,,4.7784150,45.7443550,3353.6585365853657
538000.00,69680,Chassieu,Maison,135.00,735.00,4.9717960,45.7443940,3985.185185185185
271770.00,69290,Craponne,Appartement,60.00,,4.7230490,45.7444040,4529.5
391250.00,69008,Lyon 8e Arrondissement,Appartement,99.00,,4.8624510,45.7444140,3952.020202020202
850000.00,69008,Lyon 8e Arrondissement,Maison,174.00,543.00,4.8670020,45.7444220,4885.057471264367
256200.00,69500,Bron,Appartement,82.00,,4.9286240,45.7444370,3124.390243902439
598000.00,69680,Chassieu,Maison,145.00,626.00,4.9678210,45.7444410,4124.137931034483
200000.00,69110,Sainte-Foy-lès-Lyon,Appartement,65.00,,4.7815030,45.7444590,3076.923076923077
115000.00,69002,Lyon 2e Arrondissement,Appartement,22.00,,4.8217520,45.7444670,5227.272727272727
235000.00,69007,Lyon 7e Arrondissement,Appartement,39.00,,4.8489500,45.7444730,6025.641025641025
200000.00,69007,Lyon 7e Arrondissement,Appartement,78.00,,4.8319870,45.7444970,2564.102564102564
224000.00,69003,Lyon 3e Arrondissement,Appartement,44.00,,4.8777250,45.7445810,5090.909090909091
376921.00,69290,Craponne,Maison,110.00,146.00,4.7164340,45.7445950,3426.5545454545454
620000.00,69110,Sainte-Foy-lès-Lyon,Maison,110.00,1004.00,4.7868840,45.7446630,5636.363636363636
196500.00,69290,Craponne,Appartement,49.00,,4.7240220,45.7447020,4010.204081632653
264950.00,69007,Lyon 7e Arrondissement,Appartement,50.00,,4.8452480,45.7447180,5299.0
228000.00,69008,Lyon 8e Arrondissement,Appartement,44.00,,4.8627760,45.7447470,5181.818181818182
169350.00,69500,Bron,Appartement,42.00,,4.9283370,45.7447530,4032.1428571428573
299000.00,69007,Lyon 7e Arrondissement,Appartement,50.00,,4.8458850,45.7447760,5980.0
1350000.00,69008,Lyon 8e Arrondissement,Appartement,142.00,652.00,4.8639880,45.7448520,9507.042253521127
535500.00,69007,Lyon 7e Arrondissement,Appartement,70.00,,4.8465100,45.7448820,7650.0
340000.00,69007,Lyon 7e Arrondissement,Appartement,68.00,,4.8475410,45.7448890,5000.0
494100.00,69002,Lyon 2e Arrondissement,Appartement,83.00,,4.8184690,45.7449020,5953.012048192771
560000.00,69290,Craponne,Maison,108.00,542.00,4.7121410,45.7449140,5185.185185185185
513300.00,69290,Grézieu-la-Varenne,Maison,170.00,740.00,4.7051630,45.7449330,3019.4117647058824
165000.00,69008,Lyon 8e Arrondissement,Appartement,28.00,,4.8720790,45.7450020,5892.857142857143
494000.00,69003,Lyon 3e Arrondissement,Appartement,73.00,,4.8751150,45.7450060,6767.123287671233
544500.00,69008,Lyon 8e Arrondissement,Appartement,82.00,,4.8647470,45.7450100,6640.243902439024
640000.00,69110,Sainte-Foy-lès-Lyon,Maison,119.00,494.00,4.7803560,45.7450110,5378.151260504202
221000.00,69290,Craponne,Appartement,65.00,,4.7247410,45.7450330,3400.0
620000.00,69003,Lyon 3e Arrondissement,Maison,130.00,340.00,4.8951090,45.7450740,4769.2307692307695
360000.00,69003,Lyon 3e Arrondissement,Appartement,80.00,,4.8744880,45.7450770,4500.0
350300.00,69290,Craponne,Appartement,84.00,,4.7205330,45.7451070,4170.238095238095
300000.00,69500,Bron,Maison,100.00,648.00,4.9109550,45.7451280,3000.0
233050.00,69003,Lyon 3e Arrondissement,Appartement,51.00,,4.8861490,45.7451360,4569.607843137255
1201250.00,69680,Chassieu,Maison,310.00,500.00,4.9704740,45.7451370,3875.0
235000.00,69007,Lyon 7e Arrondissement,Appartement,43.00,,4.8451880,45.7451670,5465.116279069767
643000.00,69680,Chassieu,Maison,105.00,688.00,4.9612070,45.7451980,6123.809523809524
395100.00,69007,Lyon 7e Arrondissement,Appartement,69.00,,4.8457990,45.7452110,5726.086956521739
1630000.00,69003,Lyon 3e Arrondissement,Maison,119.00,425.00,4.8744860,45.7452140,13697.47899159664
210000.00,69008,Lyon 8e Arrondissement,Appartement,53.00,,4.8668680,45.7452250,3962.264150943396
535000.00,69340,Francheville,Maison,126.00,525.00,4.7509470,45.7452260,4246.0317460317465
377000.00,69002,Lyon 2e Arrondissement,Appartement,73.00,,4.8249870,45.7452270,5164.3835616438355
164500.00,69500,Bron,Appartement,44.00,,4.9280920,45.7452310,3738.6363636363635
605000.00,69290,Grézieu-la-Varenne,Maison,169.00,1000.00,4.6864870,45.7452430,3579.8816568047337
248000.00,69680,Chassieu,Appartement,69.00,,4.9664070,45.7453320,3594.2028985507245
180000.00,69008,Lyon 8e Arrondissement,Appartement,100.00,,4.8634190,45.7453900,1800.0
190000.00,69008,Lyon 8e Arrondissement,Appartement,44.00,,4.8626470,45.7454080,4318.181818181818
211880.00,69290,Craponne,Appartement,76.00,,4.7293650,45.7454230,2787.8947368421054
517150.00,69007,Lyon 7e Arrondissement,Appartement,75.00,,4.8453320,45.7454230,6895.333333333333
328500.00,69350,La Mulatière,Appartement,47.00,,4.8122680,45.7454280,6989.36170212766
248100.00,69680,Chassieu,Appartement,62.00,,4.9770760,45.7454310,4001.6129032258063
960000.00,69003,Lyon 3e Arrondissement,Maison,132.00,450.00,4.8797500,45.7454550,7272.727272727273
185000.00,69003,Lyon 3e Arrondissement,Appartement,43.00,,4.8776280,45.7454900,4302.325581395349
545000.00,69005,Lyon 5e Arrondissement,Maison,71.00,536.00,4.7836910,45.7454970,7676.056338028169
400000.00,69008,Lyon 8e Arrondissement,Appartement,63.00,,4.8668330,45.7455290,6349.206349206349
532610.00,69290,Craponne,Maison,110.00,287.00,4.7361310,45.7455510,4841.909090909091
240000.00,69500,Bron,Maison,60.00,225.00,4.9130090,45.7455910,4000.0
342500.00,69008,Lyon 8e Arrondissement,Appartement,68.00,,4.8635370,45.7456030,5036.764705882353
183000.00,69002,Lyon 2e Arrondissement,Appartement,32.00,,4.8252190,45.7456960,5718.75
355000.00,69003,Lyon 3e Arrondissement,Appartement,45.00,,4.8795340,45.7457140,7888.888888888889
490000.00,69680,Chassieu,Maison,103.00,415.00,4.9800850,45.7457360,4757.281553398058
297840.00,69003,Lyon 3e Arrondissement,Appartement,38.00,,4.8716450,45.7457510,7837.894736842105
282000.00,69340,Francheville,Appartement,67.00,,4.7509370,45.7457920,4208.955223880597
395000.00,69680,Chassieu,Maison,102.00,311.00,4.9759590,45.7458720,3872.549019607843
265000.00,69007,Lyon 7e Arrondissement,Appartement,41.00,,4.8386420,45.7458990,6463.414634146341
565760.00,69007,Lyon 7e Arrondissement,Appartement,115.00,,4.8434130,45.7459530,4919.652173913043
393600.00,69680,Chassieu,Maison,130.00,326.00,4.9800080,45.7459690,3027.6923076923076
283800.00,69690,Courzieu,Maison,128.00,1001.00,4.5697110,45.7460080,2217.1875
217000.00,69008,Lyon 8e Arrondissement,Appartement,36.00,,4.8650090,45.7460210,6027.777777777777
350000.00,69008,Lyon 8e Arrondissement,Appartement,81.00,,4.8677330,45.7460480,4320.9876543209875
596200.00,69005,Lyon 5e Arrondissement,Maison,117.00,193.00,4.7849000,45.7460560,5095.726495726496
661800.00,69002,Lyon 2e Arrondissement,Appartement,113.00,,4.8273300,45.7460690,5856.637168141593
135000.00,69003,Lyon 3e Arrondissement,Appartement,27.00,,4.8879540,45.7461110,5000.0
215000.00,69110,Sainte-Foy-lès-Lyon,Appartement,61.00,,4.7968820,45.7461670,3524.590163934426
231300.00,69007,Lyon 7e Arrondissement,Appartement,42.00,,4.8476210,45.7462120,5507.142857142857
198000.00,69003,Lyon 3e Arrondissement,Appartement,45.00,,4.8777680,45.7462180,4400.0
401000.00,69003,Lyon 3e Arrondissement,Appartement,68.00,,4.8747060,45.7463180,5897.058823529412
395000.00,69500,Bron,Maison,60.00,329.00,4.9129680,45.7463450,6583.333333333333
335000.00,69002,Lyon 2e Arrondissement,Appartement,57.00,,4.8244250,45.7463670,5877.19298245614
723675.94,69340,Francheville,Maison,118.00,1000.00,4.7529930,45.7463720,6132.846949152542
650000.00,69290,Craponne,Appartement,65.00,,4.7199850,45.7463880,10000.0
135750.00,69007,Lyon 7e Arrondissement,Appartement,28.00,,4.8476490,45.7464320,4848.214285714285
