nom;longitude;latitude;nb
Laënnec;4.88678513;45.73836263;1
Laënnec;4.88597976;45.73885089;1
Laënnec;4.8864337;45.73833533;1
Grange Blanche;4.87829412;45.74329669;1
Grange Blanche;4.8789438;45.74251615;1
Grange Blanche;4.8786508;45.74287753;1
Saxe - Gambetta;4.84664517;45.75410858;2
Saxe - Gambetta;4.84706357;45.75409139;2
Saxe - Gambetta;4.84802286;45.75364741;2
Saxe - Gambetta;4.84765277;45.7536016;2
Guillotière Gabriel Péri;4.84224216;45.75540995;1
Guillotière Gabriel Péri;4.84281836;45.75506548;1
Bellecour;4.83413074;45.75631899;2
Bellecour;4.8336334;45.75642466;2
Bellecour;4.83374321;45.75615263;2
Bellecour;4.83383626;45.75713754;2
Perrache;4.82695524;45.74958344;1
Gare Part-Dieu V.Merle;4.85828601;45.76153339;1
Gare Part-Dieu V.Merle;4.85831537;45.7613041;1
Gare d'Oullins;4.81434465;45.71654147;1
Gare d'Oullins;4.8150109;45.71669868;1
Gare d'Oullins;4.81470043;45.71685225;1
Gare d'Oullins;4.81400304;45.71668853;1
Oullins Centre;4.80502183;45.71409349;1
Oullins Centre;4.80565309;45.71444594;1
St-Genis-Laval Hôp. Sud;4.8046699;45.7011965;1
St-Genis-Laval Hôp. Sud;4.80431757;45.70127446;1
